document-count,cited-by-count,citations-count,h-index,coauthor-count,surname,given-name,faculty,department,gender,affiliation-name
13,114,115,4,26,Ong,Lisa Gaik Ai,FSc,DBS,female,Universiti Tunku Abdul Rahman
7,203,257,9,30,Loo,Keat Wei,FSc,DBS,female,Universiti Tunku Abdul Rahman
3,8,8,1,7,Shit,Chong Sheng,FSc,DBS,male,Universiti Tunku Abdul Rahman
22,228,274,11,27,Tee,Chong Siang,FSc,DBS,male,Universiti Tunku Abdul Rahman
2,34,34,2,4,Teh,Yok Lan,FSc,DBS,female,Universiti Tunku Abdul Rahman
29,2024,2493,17,119,Wong,Hann Ling,FSc,DBS,male,Universiti Tunku Abdul Rahman
19,91,97,6,30,Wong,Wey Lim,FSc,DBS,male,Universiti Tunku Abdul Rahman
11,196,222,9,51,Yap,Moh Lan,FSc,DBS,female,Universiti Tunku Abdul Rahman
4,8,8,2,9,Anthony Dhanapal,Anto Cordelia Tanislaus,FSc,DCHS,female,Universiti Tunku Abdul Rahman
46,303,351,11,92,Chai,Tsun Thai,FSc,DCHS,male,Universiti Tunku Abdul Rahman
3,6,6,1,7,Chan,Mun Yee,FSc,DCHS,female,Universiti Tunku Abdul Rahman
17,168,170,7,38,Chee,Swee Yong,FSc,DCHS,female,Universiti Tunku Abdul Rahman
136,776,1313,19,106,Ha,Sie Tiong,FSc,DCHS,male,Universiti Tunku Abdul Rahman
24,143,161,8,46,Lim,Chan Kiang,FSc,DCHS,male,Universiti Tunku Abdul Rahman
20,221,370,11,35,Lim,Tuck Meng,FSc,DCHS,male,Universiti Tunku Abdul Rahman
23,181,268,9,35,Aminuzzaman,Mohammod,FSc,DCHS,male,Universiti Tunku Abdul Rahman
66,567,793,14,55,Ong,Siew Teng,FSc,DCHS,female,Universiti Tunku Abdul Rahman
14,47,59,5,35,Ong,Mei Lee,FSc,DCHS,female,Universiti Tunku Abdul Rahman
33,160,204,10,21,Ooi,Zhong Xian,FSc,DCHS,male,Universiti Tunku Abdul Rahman
31,547,873,17,35,Sim,Kooi Mow,FSc,DCHS,male,Universiti Tunku Abdul Rahman
11,154,215,8,28,Tey,Lai Hock,FSc,DCHS,male,Universiti Tunku Abdul Rahman
